Customer ID,Gender,Age,Number of Dependents,City,Tenure in Months,Avg Monthly Long Distance Charges,Streaming Movies,Streaming Music,Unlimited Data,Payment Method,Monthly Charge,Total Charges,Total Revenue,Customer Status
0002-ORFBO,Female,37,0,Frazier Park,9,42.39,No,No,Yes,Credit Card,65.6,593.3,974.81,Stayed
0003-MKNFE,Male,46,0,Glendale,9,10.69,Yes,Yes,No,Credit Card,-4,542.4,610.28,Stayed
0004-TLHLJ,Male,50,0,Costa Mesa,4,33.65,No,No,Yes,Bank Withdrawal,73.9,280.85,415.45,Churned
0011-IGKFF,Male,78,0,Martinez,13,27.82,Yes,No,Yes,Bank Withdrawal,98,1237.85,1599.51,Churned
0013-EXCHZ,Female,75,0,Camarillo,3,7.38,No,No,Yes,Credit Card,83.9,267.4,289.54,Churned
0013-MHZWF,Female,23,3,Midpines,9,16.77,Yes,Yes,Yes,Credit Card,69.4,571.45,722.38,Stayed
0013-SMEOE,Female,67,0,Lompoc,71,9.96,Yes,Yes,Yes,Bank Withdrawal,109.7,7904.25,8611.41,Stayed
0014-BMAQU,Male,52,0,Napa,63,12.96,No,No,No,Credit Card,84.65,5377.8,6214.28,Stayed
0015-UOCOJ,Female,68,0,Simi Valley,7,10.53,No,No,Yes,Bank Withdrawal,48.2,340.35,414.06,Stayed
0016-QLJIS,Female,43,1,Sheridan,65,28.46,Yes,Yes,Yes,Credit Card,90.45,5957.9,7807.8,Stayed
0017-DINOC,Male,47,0,Rancho Santa Fe,54,,No,No,Yes,Credit Card,45.2,2460.55,2460.55,Stayed
0017-IUDMW,Female,25,2,Sunnyvale,72,16.01,Yes,Yes,Yes,Credit Card,116.8,8456.75,9609.47,Stayed
0018-NYROU,Female,58,0,Antelope,5,18.65,No,No,Yes,Bank Withdrawal,68.95,351.5,444.75,Stayed
0019-EFAEP,Female,32,0,La Mesa,72,2.25,No,No,Yes,Bank Withdrawal,101.3,7261.25,7423.25,Stayed
0019-GFNTW,Female,39,0,Los Olivos,56,,No,No,Yes,Bank Withdrawal,45.05,2560.1,2560.1,Stayed
